,salary_min,salary_max,salary_currency,site,name,link
93,180000.0,260000.0,₽,hh.ru,Data Scientist / ML Engineer (Middle+),https://volgograd.hh.ru/vacancy/81489620?from=vacancy_search_list&query=python
94,150000.0,260000.0,₽,hh.ru,Программист Python,https://volgograd.hh.ru/vacancy/83525003?from=vacancy_search_list&query=python
95,200000.0,,₽,hh.ru,Аналитик данных (Python),https://volgograd.hh.ru/vacancy/83373693?from=vacancy_search_list&query=python
96,,400000.0,₽,hh.ru,Data engineer (middle+),https://volgograd.hh.ru/vacancy/82858863?from=vacancy_search_list&query=python
97,,,,hh.ru,Middle Python Developer,https://volgograd.hh.ru/vacancy/83465045?from=vacancy_search_list&query=python
98,,,,hh.ru,Backend senior разработчик (python),https://volgograd.hh.ru/vacancy/83554721?from=vacancy_search_list&query=python
99,160000.0,250000.0,₽,hh.ru,Старший Python разработчик,https://volgograd.hh.ru/vacancy/82987526?from=vacancy_search_list&query=python
100,150000.0,200000.0,₽,hh.ru,Руководитель разработки Python,https://volgograd.hh.ru/vacancy/82930139?from=vacancy_search_list&query=python
101,180000.0,260000.0,₽,hh.ru,Data Scientist / ML Engineer (Middle+),https://volgograd.hh.ru/vacancy/81489621?from=vacancy_search_list&query=python
102,115000.0,220000.0,₽,hh.ru,Программист Python,https://volgograd.hh.ru/vacancy/80505413?from=vacancy_search_list&query=python
103,250000.0,300000.0,₽,hh.ru,Ведущий Python разработчик,https://volgograd.hh.ru/vacancy/81542736?from=vacancy_search_list&query=python
104,,,,hh.ru,Python Backend разработчик,https://volgograd.hh.ru/vacancy/81930964?from=vacancy_search_list&query=python
105,90000.0,,,hh.ru,Разработчик (python) - администратор системы,https://volgograd.hh.ru/vacancy/83641852?from=vacancy_search_list&query=python
106,70000.0,,,hh.ru,Инженер-программист Python,https://volgograd.hh.ru/vacancy/83461071?from=vacancy_search_list&query=python
107,150000.0,250000.0,₽,hh.ru,Python developer,https://volgograd.hh.ru/vacancy/46229759?from=vacancy_search_list&query=python
108,90000.0,,₽,hh.ru,Разработчик (python) - администратор системы,https://volgograd.hh.ru/vacancy/83641751?from=vacancy_search_list&query=python
109,70000.0,250000.0,₽,hh.ru,Программист Python,https://volgograd.hh.ru/vacancy/83345305?from=vacancy_search_list&query=python
110,150000.0,300000.0,₽,hh.ru,"Python developer (Senior, Middle)",https://volgograd.hh.ru/vacancy/81922954?from=vacancy_search_list&query=python
111,125000.0,220000.0,₽,hh.ru,Программист Python,https://volgograd.hh.ru/vacancy/80505531?from=vacancy_search_list&query=python
112,300000.0,,₽,hh.ru,Teamlead backend (python),https://volgograd.hh.ru/vacancy/82357401?from=vacancy_search_list&query=python
113,,120000.0,₽,hh.ru,Инженер по автоматизации тестирования (Python),https://volgograd.hh.ru/vacancy/81013812?from=vacancy_search_list&query=python
114,1000000.0,,₽,hh.ru,Backend Senior Python Developer (Team-Lead),https://volgograd.hh.ru/vacancy/83026152?from=vacancy_search_list&query=python
115,280000.0,,₽,hh.ru,"Разработчик Python (FastAPI, MySQL, Clickhouse), удаленно",https://volgograd.hh.ru/vacancy/83398316?from=vacancy_search_list&query=python
116,180000.0,240000.0,₽,hh.ru,Python-разработчик,https://volgograd.hh.ru/vacancy/83452764?from=vacancy_search_list&query=python
117,25000.0,40000.0,₽,hh.ru,Программист Python,https://volgograd.hh.ru/vacancy/83221026?from=vacancy_search_list&query=python
118,200000.0,350000.0,₽,hh.ru,"Разработчик Python, удаленно",https://volgograd.hh.ru/vacancy/83161563?from=vacancy_search_list&query=python
119,90000.0,,₽,hh.ru,Разработчик (python) - администратор системы,https://volgograd.hh.ru/vacancy/83641799?from=vacancy_search_list&query=python
120,180000.0,260000.0,₽,hh.ru,Data Scientist / ML Engineer (Middle+),https://volgograd.hh.ru/vacancy/81489622?from=vacancy_search_list&query=python
